ID,Num_Indiv_Modules
PGC_AMC_1132,2
PGC_AMC_1133,3
PGC_AMC_1134,3
PGC_AMC_1135,4
PGC_AMC_1136,3
PGC_AMC_1137,3
PGC_AMC_1138,4
PGC_AMC_1139,3
PGC_AMC_1140,4
PGC_AMC_1141,3
PGC_AMC_1142,2
PGC_AMC_1143,2
PGC_AMC_1144,3
PGC_AMC_1145,3
PGC_AMC_1146,4
PGC_AMC_1147,4
PGC_AMC_1148,4
PGC_AMC_1149,4
PGC_AMC_1150,2
PGC_AMC_1151,4
PGC_AMC_1152,4
PGC_AMC_1154,3
PGC_AMC_1155,4
PGC_AMC_1156,5
PGC_AMC_1157,3
PGC_AMC_1158,3
PGC_AMC_1159,4
PGC_AMC_1160,4
PGC_AMC_1161,3
PGC_AMC_1162,4
PGC_AMC_1163,3
PGC_AMC_1164,2
PGC_AMC_1166,5
PGC_AMC_1167,2
PGC_AMC_1168,2
PGC_AMC_1169,2
PGC_AMC_1170,4
PGC_AMC_1171,4
PGC_AMC_1172,3
PGC_AMC_1173,4
PGC_AMC_1174,3
PGC_AMC_1175,2
PGC_AMC_1176,5
PGC_AMC_1177,3
PGC_AMC_1178,3
PGC_AMC_1179,4
PGC_AMC_1180,2
PGC_AMC_1181,3
PGC_AMC_1182,2
PGC_AMC_1183,3
PGC_AMC_1184,3
PGC_AMC_1185,3
PGC_AMC_1186,3
PGC_AMC_1187,3
PGC_AMC_1188,4
PGC_AMC_1189,4
PGC_AMC_1190,4
PGC_AMC_1191,4
PGC_AMC_1192,3
PGC_AMC_1193,4
PGC_AMC_1194,4
PGC_AMC_1195,5
PGC_AMC_1196,3
PGC_AMC_1197,3
PGC_AMC_1198,3
PGC_AMC_1199,3
PGC_AMC_1200,3
PGC_AMC_1201,4
PGC_AMC_1202,2
PGC_AMC_1203,4
PGC_AMC_1204,4
PGC_AMC_1205,3
PGC_AMC_1206,2
PGC_COL_0017136,4
PGC_COL_0037136,4
PGC_COL_0047136,4
PGC_COL_0057136,3
PGC_COL_0067136,3
PGC_COL_0087136,3
PGC_COL_0097136,3
PGC_COL_0117136,5
PGC_COL_0127136,3
PGC_COL_0137136,4
PGC_COL_0147136,2
PGC_COL_0167136,3
PGC_COL_0177136,4
PGC_COL_0197136,3
PGC_COL_0217136,4
PGC_COL_0227136,3
PGC_COL_0237136,3
PGC_COL_0247136,3
PGC_COL_0257136,3
PGC_COL_0267136,3
PGC_COL_0277136,3
PGC_COL_0287136,4
PGC_COL_0297136,5
PGC_COL_0307136,3
PGC_COL_0317136,4
PGC_COL_0327136,4
PGC_COL_0337136,5
PGC_COL_0357136,5
PGC_COL_0367136,4
PGC_COL_0387136,4
PGC_COL_0417136,3
PGC_COL_0427136,3
PGC_COL_0437136,4
PGC_COL_0447136,3
PGC_COL_0457136,3
PGC_COL_0467136,4
PGC_COL_0477136,4
PGC_COL_0487136,5
PGC_COL_0497136,4
PGC_COL_0527136,3
PGC_COL_0537136,3
PGC_COL_0547136,4
PGC_COL_0557136,4
PGC_COL_0567136,3
PGC_COL_0577136,5
PGC_COL_0607136,4
PGC_COL_0617136,4
PGC_COL_0627136,4
PGC_COL_0637136,4
PGC_COL_0647136,2
PGC_COL_0667136,4
PGC_COL_0677136,4
PGC_COL_0697136,3
PGC_COL_0717136,2
