"","X1","X2","value","SigStar"
"1","11","X11",NA,NA
"2","22","X11",0.628254995338232,NA
"3","26","X11",-1.30411808107802,NA
"4","35","X11",-3.00375275550442,NA
"5","36","X11",-4.18783672937336,NA
"6","37","X11",-1.8017339889804,NA
"7","40","X11",-4.29756349596928,NA
"8","42","X11",-5.02001135593336,"*"
"9","3","X11",-0.173050191033093,NA
"10","14","X11",-2.12431403167291,NA
"11","15","X11",-3.78793412571279,NA
"12","18","X11",1.79117586057092,NA
"13","23","X11",-4.15227274525637,NA
"14","27","X11",-1.22205422184558,NA
"15","34","X11",-3.67810447008496,NA
"16","38","X11",-0.823193465526922,NA
"17","41","X11",-2.90836879317558,NA
"18","1","X11",-1.0543159986505,NA
"19","12","X11",-1.10148592991154,NA
"20","28","X11",-2.45955299049945,NA
"21","29","X11",-4.58034269273898,NA
"22","30","X11",-1.65353459373632,NA
"23","31","X11",-3.33013169297286,NA
"24","32","X11",-3.35484835620932,NA
"25","39","X11",-1.57814501531659,NA
"26","2","X11",-1.23446966386204,NA
"27","6","X11",-1.87619923690678,NA
"28","8","X11",-2.73436237055514,NA
"29","13","X11",-3.8887463909351,NA
"30","4","X11",-0.477838548199489,NA
"31","5","X11",0.544612066952979,NA
"32","17","X11",-0.197144598515185,NA
"33","7","X11",1.22717453220463,NA
"34","9","X11",1.79663551509242,NA
"35","10","X11",-3.47655457344192,NA
"36","16","X11",-0.94283367415921,NA
"37","19","X11",-0.204379838844999,NA
"38","20","X11",0.28686998379496,NA
"39","21","X11",4.44720615453246,NA
"40","24","X11",2.71294728953136,NA
"41","25","X11",0.08241969381302,NA
"42","33","X11",4.31801702889237,NA
"43","11","X22",0.628254995338232,NA
"44","22","X22",NA,NA
"45","26","X22",-11.9611063343004,"*"
"46","35","X22",-3.84409965114734,NA
"47","36","X22",-4.78757847483006,NA
"48","37","X22",-3.42701989884548,NA
"49","40","X22",-3.21344925340621,NA
"50","42","X22",-1.01123537478011,NA
"51","3","X22",-0.200099245770355,NA
"52","14","X22",-1.13421199326819,NA
"53","15","X22",-1.79848976205182,NA
"54","18","X22",-0.153152587596374,NA
"55","23","X22",0.0753706188584047,NA
"56","27","X22",-0.564736365693416,NA
"57","34","X22",-0.655920035926223,NA
"58","38","X22",-1.34515565539978,NA
"59","41","X22",-0.932510272275141,NA
"60","1","X22",-0.752120471437793,NA
"61","12","X22",-3.30108434574251,NA
"62","28","X22",-0.8928032345469,NA
"63","29","X22",-2.29629984493028,NA
"64","30","X22",-1.46375096564855,NA
"65","31","X22",-2.25488807738833,NA
"66","32","X22",-5.75217742194505,"*"
"67","39","X22",-4.40124439913004,NA
"68","2","X22",-3.86384976895041,NA
"69","6","X22",-1.72220000046307,NA
"70","8","X22",-3.08115652385257,NA
"71","13","X22",-2.92728209727092,NA
"72","4","X22",0.263882836417858,NA
"73","5","X22",-1.81149656279638,NA
"74","17","X22",-0.935963557606259,NA
"75","7","X22",-3.22123326909994,NA
"76","9","X22",-2.33236483972328,NA
"77","10","X22",-1.82485386195791,NA
"78","16","X22",-2.26515322587333,NA
"79","19","X22",-3.04779537455505,NA
"80","20","X22",-0.0916839954104783,NA
"81","21","X22",-4.86735423032143,NA
"82","24","X22",-4.39581260679943,NA
"83","25","X22",-4.54912971273842,NA
"84","33","X22",-4.51473097261498,NA
"85","11","X26",-1.30411808107802,NA
"86","22","X26",-11.9611063343004,"*"
"87","26","X26",NA,NA
"88","35","X26",-3.2308030687551,NA
"89","36","X26",-2.62240999371725,NA
"90","37","X26",-2.75281274734891,NA
